ano,N,Total,Media,DP,CV,Mediana,Minimo,Maximo
2019,159,1655,10.408805031446539,15.132835385044686,145.38494418260456,6,0,141
2020,159,1119,7.037735849056604,9.852640070568013,139.99729858984037,3,0,82
2021,159,1085,6.823899371069181,9.994640710226587,146.46524174433435,4,0,82
2022,159,1141,7.17610062893082,10.08541658716412,140.54173859413623,3,0,62
2023,159,1249,7.855345911949687,11.156445873641227,142.02361040103722,4,0,68
2024,159,1170,7.3584905660377355,10.137212446634509,137.76211786452026,3,0,57
