variavel,N,media,dp,mediana,minimo,maximo
Renda domiciliar média (2010),159,3361.2940880503143,2626.877541198569,2412.71,973.32,16906.04
População total (2010),159,39730.094339622636,45839.07933936847,26212,167,328370
IPS água e saneamento,159,90.49415246043671,12.737568064566682,94.7889852033143,24.7016180401557,99.8500831693263
Pessoas vivendo em favelas não urbanizadas,159,0.12566100628930818,0.17429132272929657,0.0604,0,1
