ano,2019,2020,2021,2022,2023,2024
2019,1,0.8800385597688803,0.8919273445688449,0.8113321829324194,0.7713386306149651,0.7476579374658237
2020,0.8800385597688803,1,0.8739126264901605,0.8348296733902839,0.7323402265713517,0.7128199341956395
2021,0.8919273445688449,0.8739126264901605,1,0.8350861222552993,0.8196256548384044,0.7917834854762733
2022,0.8113321829324194,0.8348296733902839,0.8350861222552993,1,0.775410297249226,0.7978381129911011
2023,0.7713386306149651,0.7323402265713517,0.8196256548384044,0.775410297249226,1,0.902244049218866
2024,0.7476579374658237,0.7128199341956395,0.7917834854762733,0.7978381129911011,0.902244049218866,1
