controle,ano,titulo,titulo_do,bairro_fato_original,bairro
27858271-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cascadura,Cascadura
36094801-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Penha,Penha
36927891-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
52763831-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
52506531-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,"Gardenia azul, jacarepagua",Gardênia Azul
63905461-2022,2022,Homicídio (outros),Homicídio doloso,Costa barros,Costa Barros
72931111-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Costa barros,Costa Barros
98255961-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Benfica,Benfica
99903881-2022,2022,Homicídio (outros),Homicídio doloso,Colegio,Colégio
99632151-2022,2022,Homicídio (outros),Homicídio doloso,Bonsucesso,Bonsucesso
06301621-2022,2022,Homicídio (outros),Homicídio doloso,Curicica,Curicica
36954901-2022,2022,Lesão Corporal Seguida de Morte Provocada por Paulada,Lesão corporal seguida de morte,Colegio,Colégio
46809951-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Iraja,Irajá
70951291-2022,2022,Homicídio (outros),Homicídio doloso,Penha,Penha
52700701-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cidade nova,Cidade Nova
52700701-2022,2022,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Cidade nova,Cidade Nova
48975851-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
67416551-2022,2022,Homicídio (outros),Homicídio doloso,Taquara,Taquara
80604811-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vicente carvalho,Vicente de Carvalho
20169471-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Costa barros,Costa Barros
69339861-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Centro,Centro
07674621-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Mare,Maré
09975581-2022,2022,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Vila da penha,Vila da Penha
23262911-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Piedade,Piedade
73797371-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Costa barros,Costa Barros
74319291-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Praca seca,Praça Seca
06464781-2022,2022,Homicídio (outros),Homicídio doloso,Penha,Penha
14163671-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Barra da tijuca,Barra da Tijuca
