controle,ano,titulo,titulo_do,bairro_fato_original,bairro
07644051-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Jacarepagua,Jacarepaguá
63341861-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cachambi,Cachambi
15267481-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Barros filho,Barros Filho
64467661-2019,2019,Homicídio (outros),Homicídio doloso,Copacabana,Copacabana
69291621-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Santa teresa,Santa Teresa
87267641-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Colegio,Colégio
16539062-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Guadalupe,Guadalupe
34418741-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Engenho de dentro,Engenho de Dentro
44032331-2019,2019,Homicídio (outros),Homicídio doloso,Grajau,Grajaú
71109331-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jardim america,Jardim América
40479101-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
29387721-2019,2019,Homicídio (outros),Homicídio doloso,Inhauma,Inhaúma
30712471-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bonsucesso,Bonsucesso
87331471-2019,2019,Homicídio (outros),Homicídio doloso,Olaria,Olaria
15372521-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Padre miguel,Padre Miguel
18395691-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Benfica,Benfica
20710091-2019,2019,Homicídio (outros),Homicídio doloso,Realengo,Realengo
39692711-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Praca seca,Praça Seca
39692711-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Praca seca,Praça Seca
39692711-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Praca seca,Praça Seca
60085561-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Taquara,Taquara
78104911-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Recreio dos bandeirantes,Recreio dos Bandeirantes
95768971-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bonsucesso,Bonsucesso
13614561-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Caju,Caju
90376441-2019,2019,Homicídio (outros),Homicídio doloso,Rocinha,Rocinha
02962621-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacarepagua,Jacarepaguá
49812701-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Sao cristovao,São Cristóvão
53417431-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Senador camara,Senador Camará
82928351-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Tomas coelho,Tomás Coelho
91104111-2019,2019,Lesão Corporal Seguida de Morte (outros),Lesão corporal seguida de morte,Ipanema,Ipanema
92938531-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Copacabana,Copacabana
83260531-2019,2019,Homicídio (outros),Homicídio doloso,Gardenia azul,Gardênia Azul
03174881-2019,2019,Homicídio (outros),Homicídio doloso,Rocinha,Rocinha
16700541-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Quintino bocaiuva,Quintino Bocaiúva
34329301-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pilares,Pilares
83517731-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
37334361-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Tanque,Tanque
88420301-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Guadalupe,Guadalupe
17594931-2019,2019,Homicídio (outros),Homicídio doloso,Vila kennedy,Bangu
49776421-2019,2019,Homicídio (outros),Homicídio doloso,Senador camara,Senador Camará
80074631-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cavalcanti,Cavalcanti
90068931-2019,2019,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Bangu,Bangu
76117291-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
85752491-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Madureira,Madureira
00247941-2019,2019,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Guaratiba,Guaratiba
02999291-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pilares,Pilares
03389811-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cordovil,Cordovil
53549901-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
73824251-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Sampaio,Sampaio
73824251-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Sampaio,Sampaio
89139381-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Rocha miranda,Rocha Miranda
37632841-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Mangueira,Mangueira
46734131-2019,2019,Homicídio (outros),Homicídio doloso,Costa barros,Costa Barros
55732361-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Copacabana,Copacabana
65690971-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Del castilho,Del Castilho
05659571-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Taquara,Taquara
11743161-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jardim america,Jardim América
19401741-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vigario geral,Vigário Geral
32633171-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Galeao,Galeão
79443411-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
79443411-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
79443411-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
95061211-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vicente de carvalho,Vicente de Carvalho
08891971-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Bento ribeiro,Bento Ribeiro
34225802-2019,2019,Roubo Seguido de Morte (outros),Latrocínio (Roubo seguido de morte),Bangu,Bangu
46759742-2019,2019,Homicídio (outros),Homicídio doloso,Realengo,Realengo
57649671-2019,2019,Homicídio (outros),Homicídio doloso,Taquara,Taquara
60745791-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Engenho novo,Engenho Novo
98633511-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pilares,Pilares
98633511-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pilares,Pilares
04354101-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
04677381-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vicente de carvalho,Vicente de Carvalho
40058451-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
40058451-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
40058451-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
40058451-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
42062521-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pavuna,Pavuna
13981362-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bras de pina,Brás de Pina
20545212-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Tomas coelho,Tomás Coelho
28367071-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cidade nova,Cidade Nova
34659541-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
43664451-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Recreio dos bandeirantes,Recreio dos Bandeirantes
10230091-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Acari,Acari
19858451-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Acari,Acari
49551711-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Parada de lucas,Parada de Lucas
51316241-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Acari,Acari
07258351-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
07258351-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
07258351-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
07601631-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Senador vasconcelos,Senador Vasconcelos
13682091-2019,2019,Homicídio (outros),Homicídio doloso,Cidade universitaria,Cidade Universitária
16835981-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pilares,Pilares
16835981-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pilares,Pilares
38900751-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Piedade,Piedade
61764102-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
13276961-2019,2019,Homicídio (outros),Homicídio doloso,Barros filhos,Barros Filho
31545921-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Honorio gurgel,Honório Gurgel
24017431-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Anchieta,Anchieta
40229471-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Manguinhos,Manguinhos
89551271-2019,2019,Homicídio (outros),Homicídio doloso,Santa cruz,Santa Cruz
99184891-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Ramos,Ramos
99184891-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Ramos,Ramos
01217071-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Campo grande,Campo Grande
66217121-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Copacabana,Copacabana
69316321-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Barros filho,Barros Filho
02471801-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Lins de vasconcelos,Lins de Vasconcelos
17668731-2019,2019,Homicídio (outros),Homicídio doloso,Vila do joao,Maré
21469691-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cavalcanti,Cavalcanti
21469691-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cavalcanti,Cavalcanti
34717081-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Tijuca,Tijuca
59448811-2019,2019,Homicídio (outros),Homicídio doloso,Penha,Penha
90775851-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Rocinha,Rocinha
94411291-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Santa cruz,Santa Cruz
35924461-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Manguinhos,Manguinhos
49442291-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
49442291-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
49442291-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
49834741-2019,2019,Homicídio (outros),Homicídio doloso,Manguinhos,Manguinhos
72220662-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Guadalupe,Guadalupe
02871041-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacarepagua,Jacarepaguá
14081031-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
40911772-2019,2019,Homicídio (outros),Homicídio doloso,Realengo,Realengo
45050701-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Engenho novo,Engenho Novo
66500191-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Tijuca,Tijuca
73811531-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Santa tereza,Santa Teresa
00826801-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Tomas coelho,Tomás Coelho
11018021-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Gamboa,Gamboa
19746281-2019,2019,Homicídio (outros),Homicídio doloso,Ricardo de albuquerque,Ricardo de Albuquerque
26794951-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Sao cristovao,São Cristóvão
31355321-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pedra de guaratiba,Pedra de Guaratiba
65761841-2019,2019,Homicídio (outros),Homicídio doloso,Campo grande,Campo Grande
88539661-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pitangueiras,Pitangueiras
57067411-2019,2019,Homicídio (outros),Homicídio doloso,Vicente de carvalhio,Vicente de Carvalho
67675751-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Todos os santos,Todos os Santos
95582311-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Caju,Caju
36374751-2019,2019,Homicídio (outros),Homicídio doloso,Senador camara,Senador Camará
49423381-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jacare,Jacaré
55045181-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vigario geral,Vigário Geral
80050221-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ramos,Ramos
88469181-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Coelho neto,Coelho Neto
10635631-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Iraja,Irajá
21086151-2019,2019,Homicídio (outros),Homicídio doloso,Coelho neto,Coelho Neto
29795351-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Estacio,Estácio
94694811-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Centro,Centro
98454482-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vicente de carvalho,Vicente de Carvalho
73382781-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Santa maria,Taquara
21801821-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Barros filho,Barros Filho
32780371-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bonsucesso,Bonsucesso
53205001-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Engenho novo,Engenho Novo
64639761-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
84268011-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pavuna,Pavuna
55290751-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacarepagua,Jacarepaguá
56691031-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Realengo,Realengo
59557211-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Taquara,Taquara
59557211-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Taquara,Taquara
88528721-2019,2019,Lesão Corporal Seguida de Morte Provocada por Projétil de Arma de Fogo,Lesão corporal seguida de morte,Quintino bocaiuva,Quintino Bocaiúva
10196501-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
10196501-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
23784311-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Copacabana,Copacabana
29469181-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Complexo do alemao,Complexo do Alemão
42838021-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vila kenedy,Bangu
43136291-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vila kennedy,Bangu
78620981-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Praca seca,Praça Seca
88457091-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
88457091-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
88457091-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
88457091-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
88457091-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
88457091-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
88457091-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
88457091-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
88457091-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Catumbi,Catumbi
06389921-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
06389921-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
11235821-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Santa teresa,Santa Teresa
11235821-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Santa teresa,Santa Teresa
48768261-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Guaratiba,Guaratiba
67969911-2019,2019,Homicídio (outros),Homicídio doloso,Pavuna,Pavuna
83632411-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Barros filho,Barros Filho
42304381-2019,2019,Lesão Corporal Seguida de Morte (outros),Lesão corporal seguida de morte,Manguinhos,Manguinhos
52754841-2019,2019,Homicídio (outros),Homicídio doloso,Copacabana,Copacabana
56778771-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
95597931-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Ricardo de albuquerquer,Ricardo de Albuquerque
29236841-2019,2019,Homicídio (outros),Homicídio doloso,Bangu,Bangu
37219251-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Parada de lucas,Parada de Lucas
37219251-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Parada de lucas,Parada de Lucas
74623391-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Santa teresa,Santa Teresa
14372661-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Benfica,Benfica
14372661-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Benfica,Benfica
23522901-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Ramos,Ramos
27254861-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
32026621-2019,2019,Homicídio (outros),Homicídio doloso,Caju,Caju
37395791-2019,2019,Homicídio (outros),Homicídio doloso,Madureira,Madureira
55147991-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Taquara,Taquara
91401611-2019,2019,Homicídio (outros),Homicídio doloso,Oswaldo cruz,Oswaldo Cruz
19066831-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Centro,Centro
50602841-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Abolicao,Abolição
56091361-2019,2019,Homicídio (outros),Homicídio doloso,Barra da tijuca,Barra da Tijuca
89988501-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jacarepagua,Jacarepaguá
54227741-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Senador camara,Senador Camará
54227741-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Senador camara,Senador Camará
68493401-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Anchieta,Anchieta
69876811-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Senador camara,Senador Camará
69876811-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Senador camara,Senador Camará
12448091-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
31798221-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
31798221-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
44988051-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
62306551-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Barros filho,Barros Filho
62306551-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Barros filho,Barros Filho
05576411-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo graned,Campo Grande
28487921-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cosmos,Cosmos
47263271-2019,2019,Homicídio (outros),Homicídio doloso,Vicente carvalho,Vicente de Carvalho
29782411-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Del castilho,Del Castilho
92707961-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Parada de lucas,Parada de Lucas
94313151-2019,2019,Homicídio (outros),Homicídio doloso,Bonsucesso,Bonsucesso
10255661-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Penha,Penha
48281071-2019,2019,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Bento ribeiro,Bento Ribeiro
60445201-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vicente de carvalho,Vicente de Carvalho
01700701-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pavuna,Pavuna
42617011-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Marechal hermes,Marechal Hermes
42617011-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Marechal hermes,Marechal Hermes
54527552-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Deodoro,Deodoro
64626141-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Rocinha,Rocinha
65115621-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
90633861-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
94877551-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Santissimo,Santíssimo
02807901-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Leme,Leme
02746231-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Ricardo de albuquerque,Ricardo de Albuquerque
07552091-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Santa cruz,Santa Cruz
34847771-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ramos,Ramos
76031931-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Inhoaiba,Inhoaíba
81937581-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cavalcanti,Cavalcanti
04374391-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
25670551-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Padre miguel,Padre Miguel
27549361-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pavuna,Pavuna
27981571-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Iraja,Irajá
70549652-2019,2019,Homicídio Provocado por Paulada,Homicídio doloso,Campo grande,Campo Grande
91035171-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
03673121-2019,2019,Homicídio (outros),Homicídio doloso,Anchieta,Anchieta
11254871-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Deodoro,Deodoro
55500232-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Cidade de deus,Cidade de Deus
74906861-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Complexo do alemao,Complexo do Alemão
85575252-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Anchieta,Anchieta
85575252-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Anchieta,Anchieta
18632132-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Rocha,Rocha
29457582-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Anil,Anil
37979851-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,"Ramos, complexo do alemao",Ramos
65042541-2019,2019,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Andarai,Andaraí
98744181-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Piedade,Piedade
06489551-2019,2019,Homicídio (outros),Homicídio doloso,Realengo,Realengo
16526171-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Iraja,Irajá
25048591-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Tijuca,Tijuca
80980201-2019,2019,Homicídio (outros),Homicídio doloso,Sao cristovao,São Cristóvão
90733791-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vila cosmos,Vila Kosmos
