bairro,ips_2022_agua_saneamento,ips_2022_pessoas_vivendo_em_favelas_nao_urbanizadas
Vasco da Gama,89.74669840766651,0.0754
Inhoaíba,92.5501126014028,0.2742
Todos os Santos,98.84517254757203,0
Jacaré,77.10187690927957,0.188
Encantado,96.91870963147268,0.0328
Rocha,97.71483665542212,0
Méier,98.5446910743913,0
Gamboa,85.20981391185724,0.0198
Santo Cristo,89.44428649171611,0.0434
Centro,91.09953516724195,0.0026
Sampaio,88.74906195321756,0.1203
Riachuelo,94.41117449030747,0
Saúde,88.11206196012175,0
São Francisco Xavier,86.84432628141752,0.3373
Engenho Novo,98.0122801676648,0.2578
Mangueira,91.1570446023513,0
Tanque,92.04672988586454,0.232
Taquara,91.09484355022076,0.1467
Água Santa,37.49582736829227,0.1771
Lins de Vasconcelos,89.67750571851589,0.3889
Freguesia (Jacarepaguá),87.77320656485811,0.0943
Cidade Nova,71.36674134753052,0
Praça da Bandeira,92.54400767055236,0
Vila Isabel,97.50743963293849,0.2218
Maracanã,98.08264495722835,0
Glória,95.93130914166564,0
Rio Comprido,88.92207701323271,0.1515
Santa Teresa,90.32295759594544,0.2143
Estácio,86.0789424882081,0.0156
Tijuca,95.30517419315966,0.0101
Catumbi,94.16137926458174,0
Grajaú,94.87388879676134,0
Pechincha,94.45669861830754,0.0605
Andaraí,95.99841478642549,0.0096
Catete,96.86269041439444,0.09
Flamengo,98.97373372276572,0
Laranjeiras,97.75741964717533,0
Guaratiba,71.25033287665525,0.2464
Vargem Grande,37.07904276080493,0.414
Alto da Boa Vista,47.35488084341408,0.0855
Cosme Velho,96.3485224745106,0.021
Curicica,91.1664274503524,0.1542
Botafogo,97.66361971832264,0.0203
Urca,76.15447114971148,0
Cidade de Deus,97.19846015496498,0.1223
Sepetiba,82.19716329921913,0.0394
Anil,89.58254436079804,0.3418
Jacarepaguá,76.24465609952325,0.5451
Camorim,47.69081811802734,0.5873
Humaitá,99.64777157966464,0
Gardênia Azul,90.0670561872985,0.4298
Jardim Botânico,96.30822258321136,0.053900000000000003
Vargem Pequena,69.50189611617661,0.1236
Copacabana,98.60510524222065,0.019
Leme,99.25262739264636,0
Lagoa,96.914049208767,0
Itanhangá,66.81751645963149,0.4538
Gávea,98.92775953524578,0.1202
Barra da Tijuca,94.87865114349452,0.0134
Leblon,98.9640464003092,0
Ipanema,98.5970540329076,0
São Conrado,98.35186592182885,0.0879
Rocinha,91.27593479413088,0.9999
Pedra de Guaratiba,75.53345664453734,0
Recreio dos Bandeirantes,82.69146951917168,0.2365
Vidigal,97.4721000202422,0.0542
Joá,75.13777320239024,0
Barra de Guaratiba,66.67906723629739,0.1764
Grumari,24.70161804015567,0
Caju,90.91772220405798,0.0587
Deodoro,96.2238733640488,0.1585
Campo Grande,90.24639730227165,0.0466
Bangu,95.90332583268912,0.1153
Gericinó,95.90332583268912,0.1153
